course,crn,instructor,days,start_time,end_time
EEPS 334,24013,"Diedesch, Tim","Tue,Thu",09:25,10:40
EEPS 401,22777,"Torres, Mark Diedesch, Tim",Fri,14:00,14:50
EEPS 404,22571,"Izidoro Ferreira da Costa, Andre",Fri,12:00,12:50
EEPS 406,22256,"Izidoro Ferreira da Costa, Andre","Tue,Thu",13:00,14:15
EEPS 413,24678,"Dasgupta, Rajdeep","Mon,Wed",14:00,15:15
EEPS 418,24680,"Torres, Mark Zhang, Bidong","Tue,Thu",09:25,10:40
EEPS 435,24684,"Siebach, Kirsten","Tue,Thu",14:30,15:45
EEPS 437,23711,"Lee, Cin-Ty",Tue,17:00,19:50
EEPS 439,24691,"Torres, Mark","Tue,Thu",14:30,15:45
EEPS 445,23712,"Levander, Alan","Mon,Wed,Fri",10:00,10:50
EEPS 451,22258,"Zelt, Colin A.","Mon,Wed,Fri",09:00,09:50
EEPS 457,23902,"Bakhshian, Sahar",Thu,16:00,18:50
EEPS 458,24686,"Ajo-Franklin, Jonathan","Tue,Thu",14:30,15:45
EEPS 485,24688,"Holley, Jennifer Garvin, Julie",Thu,16:15,18:00
EEPS 495,22984,"Masiello, Carrie Dunham, Amy","Tue,Thu",09:25,10:40
EEPS 530,22273,"Scott, Erik",Mon,17:00,19:50
EEPS 533,22569,"Scott, Erik",Mon,20:00,20:50
EEPS 537,23297,"Siebach, Kirsten",Fri,14:00,14:50
EEPS 548,22864,"Abdulah, Kenneth",Wed,17:30,20:30
EEPS 549,24008,"Medlock, Kenneth Meidl, Rachel","Tue,Thu",10:50,12:05
EEPS 578,24100,"Donohue, Catherine",Fri,16:30,18:00
EEPS 578,24100,"Donohue, Catherine",Thu,18:30,20:00
EEPS 586,22986,"Celepcikay, Oner",Thu,18:30,21:00
EEPS 604,22572,"Izidoro Ferreira da Costa, Andre",Fri,12:00,12:50
EEPS 606,22257,"Izidoro Ferreira da Costa, Andre","Tue,Thu",13:00,14:15
EEPS 613,24679,"Dasgupta, Rajdeep","Mon,Wed",14:00,15:15
EEPS 618,24681,"Torres, Mark Zhang, Bidong","Tue,Thu",09:25,10:40
EEPS 635,24685,"Siebach, Kirsten","Tue,Thu",14:30,15:45
EEPS 637,23771,"Lee, Cin-Ty",Tue,17:00,19:50
EEPS 639,24690,"Torres, Mark","Tue,Thu",14:30,15:45
EEPS 645,23772,"Levander, Alan","Mon,Wed,Fri",10:00,10:50
EEPS 651,22259,"Zelt, Colin A.","Mon,Wed,Fri",09:00,09:50
EEPS 657,23951,"Bakhshian, Sahar",Thu,16:00,18:50
EEPS 658,24687,"Ajo-Franklin, Jonathan","Tue,Thu",14:30,15:45
EEPS 685,24689,"Holley, Jennifer Garvin, Julie",Thu,16:15,18:00
CEVE 202,25681,"Loyo Rosales, Jorge","Tue,Thu",16:00,17:15
CEVE 210,24459,"Tour, James",Fri,15:00,15:50
CEVE 307,20045,"Cohan, Daniel","Tue,Thu",09:25,10:40
CEVE 311,20047,"Nagarajaiah, Satish","Tue,Thu",13:00,14:15
CEVE 312,20048,"Nagarajaiah, Satish",Tue,14:30,16:59
CEVE 313,22302,"Duenas Osorio, Leonardo","Mon,Wed,Fri",10:00,10:50
CEVE 314,24485,"Loyo Rosales, Jorge","Mon,Wed",11:00,12:15
CEVE 315,22086,"Stadler, Lauren Getachew, Beza","Mon,Wed,Fri",11:00,11:50
CEVE 316,22087,"Stadler, Lauren Getachew, Beza",Wed,14:45,17:15
CEVE 363,22088,"Gori, Avantika","Mon,Wed,Fri",14:00,14:50
CEVE 401,23997,"Tomson, Mason","Tue,Thu",13:00,14:15
CEVE 406,21316,"Irvine, Charles","Tue,Thu",16:00,17:15
CEVE 412,20345,"Bedient, Philip","Tue,Thu",10:50,12:05
CEVE 417,22821,"Avila, Raudel","Tue,Thu",13:00,14:15
CEVE 420,21318,"de Blanc, Phillip","Tue,Thu",16:00,17:15
CEVE 421,24489,"Doss-Gollin, James","Mon,Wed,Fri",13:00,13:50
CEVE 425,24491,"Gong, Kai","Mon,Wed",14:00,15:15
CEVE 439,23175,"Simoes Novelino, Larissa","Mon,Wed,Fri",09:00,09:50
CEVE 441,21451,"Rubiano Benavides, Nestor","Tue,Thu",16:00,17:15
CEVE 452,20228,"Qian, Xinwu","Tue,Thu",09:25,10:40
CEVE 455,21705,"Zhang, Lu","Tue,Thu",16:00,17:15
CEVE 456,25695,"Yi, Sang-ri","Mon,Wed",15:30,16:45
CEVE 482,23102,"Erazo, Kalil de Blanc, Phillip",Fri,14:00,16:30
CEVE 501,23998,"Tomson, Mason","Tue,Thu",13:00,14:15
CEVE 506,22089,"Irvine, Charles","Tue,Thu",16:00,17:15
CEVE 507,20573,"Cohan, Daniel","Tue,Thu",09:25,10:40
CEVE 509,20390,"Bedient, Philip","Tue,Thu",10:50,12:05
CEVE 517,23032,"Avila, Raudel","Tue,Thu",13:00,14:15
CEVE 520,21319,"de Blanc, Phillip","Tue,Thu",16:00,17:15
CEVE 521,24488,"Doss-Gollin, James","Mon,Wed,Fri",13:00,13:50
CEVE 525,24490,"Gong, Kai","Mon,Wed",14:00,15:15
CEVE 535,21178,"Li, Qilin","Tue,Thu",09:25,10:40
CEVE 536,20049,"Alvarez, Pedro","Mon,Wed,Fri",09:30,10:50
CEVE 539,23174,"Simoes Novelino, Larissa","Mon,Wed,Fri",09:00,09:50
CEVE 541,21452,"Rubiano Benavides, Nestor","Tue,Thu",16:00,17:15
CEVE 555,20576,"Zhang, Lu","Tue,Thu",16:00,17:15
CEVE 556,25696,"Yi, Sang-ri","Mon,Wed",15:30,16:45
CEVE 564,25704,"Elimelech, Menachem","Mon,Wed",11:00,12:15
CEVE 578,24492,"Erazo, Kalil","Mon,Wed,Fri",13:00,13:50
CEVE 602,20050,"Qian, Xinwu",Thu,15:00,15:55
CEVE 654,25743,"Tezduyar, Tayfun","Tue,Thu",09:25,10:40
INDE 513,25757,"Li, Su","Mon,Wed",14:00,15:15
INDE 517,24499,"Ma, Shiqian","Tue,Thu",14:30,15:45
INDE 546,21661,"Schaefer, Andrew","Tue,Thu",13:00,14:15
INDE 561,22115,"Tekin, Eylem","Tue,Thu",10:50,12:05
INDE 565,24501,"Walczak, Darius",Tue,16:00,18:29
INDE 577,22428,"Davila, Randy",Fri,13:00,15:30
INDE 597,22718,"Zaghian, Maryam",Thu,16:00,18:30
MEOS 404,22365,"Pereira Diaz, Gloria",Tue,14:30,17:20
ITAL 106,22827,"Giliberti, Maria","Mon,Wed,Fri",14:00,14:50
ITAL 142,21180,"Giliberti, Maria","Mon,Wed,Fri",12:00,12:50
ITAL 264,24227,"Giliberti, Maria","Mon,Wed,Fri",15:00,15:50
GLBL 200,25483,"Staisch, Matthias","Mon,Wed,Fri",13:00,13:50
GLBL 502,21662,"Jones, Mark P.",Thu,18:00,20:59
GLBL 524,21146,"DeNicco, James",Mon,18:00,21:00
GLBL 525,21147,"McHugh, Scott",Tue,18:00,21:00
CMOR 220,22902,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,22902,"Protasov, Anastasiya",Wed,18:00,18:50
CMOR 220,23115,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23115,"Protasov, Anastasiya",Wed,18:00,18:50
CMOR 220,23124,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23124,"Protasov, Anastasiya",Wed,18:00,18:50
CMOR 220,23125,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23125,"Protasov, Anastasiya",Thu,18:00,18:50
CMOR 220,23126,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23126,"Protasov, Anastasiya",Thu,18:00,18:50
CMOR 220,23127,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23127,"Protasov, Anastasiya",Thu,18:00,18:50
CMOR 220,23128,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23128,"Protasov, Anastasiya",Fri,14:00,14:50
CMOR 220,23129,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23129,"Protasov, Anastasiya",Fri,14:00,14:50
CMOR 220,23130,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23130,"Protasov, Anastasiya",Fri,14:00,14:50
CMOR 220,23131,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23131,"Protasov, Anastasiya",Fri,14:00,14:50
CMOR 220,23132,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,23132,"Protasov, Anastasiya",Wed,18:00,18:50
CMOR 220,24149,"Protasov, Anastasiya","Mon,Wed",14:00,14:50
CMOR 220,24149,"Protasov, Anastasiya",Wed,18:00,18:50
CMOR 302,24495,"Kykkanen, Antti","Wed,Fri",14:00,15:15
CMOR 303,23133,"LaPole, Alyssa","Mon,Wed,Fri",10:00,10:50
CMOR 304,22903,"Anderson, Thomas Geoffrey","Mon,Wed,Fri",13:00,13:50
CMOR 350,22904,"Tekin, Eylem","Tue,Thu",09:25,10:40
CMOR 360,22905,"Ramani, Sivaramakrishnan","Tue,Thu",13:00,14:15
CMOR 404,24496,"Davila, Randy",Fri,09:00,11:30
CMOR 416,25982,"Flynn, Jonathan","Mon,Wed,Fri",11:00,11:50
CMOR 417,24067,"Riviere, Beatrice","Tue,Thu",10:50,12:05
CMOR 421,23206,"Hawkins, Elizabeth","Tue,Thu",13:00,14:15
CMOR 423,22906,"Zhang, Lu","Tue,Thu",16:00,17:15
CMOR 428,25717,"Protasov, Anastasiya","Tue,Thu",16:00,17:15
CMOR 430,22924,"Heinkenschloss, Matthias","Tue,Thu",14:30,15:45
CMOR 437,26009,"Ma, Shiqian","Tue,Thu",14:30,15:45
CMOR 438,24071,"Davila, Randy",Fri,13:00,15:30
CMOR 442,22908,"Schaefer, Andrew","Tue,Thu",13:00,14:15
CMOR 461,22909,"Tekin, Eylem","Tue,Thu",10:50,12:05
CMOR 463,24500,"Li, Su","Mon,Wed",14:00,15:15
CMOR 465,24012,"Walczak, Darius",Tue,16:00,18:29
CMOR 477,25598,"Liang, Jiaxing",Fri,13:00,15:30
CMOR 493,22921,"Hicks, Illya V.",Wed,16:00,18:30
CMOR 494,22922,"Protasov, Anastasiya","Mon,Wed",08:00,08:50
CMOR 504,25730,"Davila, Randy",Fri,09:00,11:30
CMOR 517,24497,"Riviere, Beatrice","Tue,Thu",10:50,12:05
CMOR 521,23207,"Hawkins, Elizabeth","Tue,Thu",13:00,14:15
CMOR 523,22907,"Zhang, Lu","Tue,Thu",16:00,17:15
CMOR 527,24502,"Van Fleet, Samuel","Wed,Fri",14:00,15:15
CMOR 528,24503,"Protasov, Anastasiya","Tue,Thu",16:00,17:15
CMOR 530,22923,"Heinkenschloss, Matthias","Tue,Thu",14:30,15:45
CMOR 537,24504,"Das Gupta, Shuvomoy",Wed,14:00,16:50
CMOR 544,25748,"Ge, Puyao","Mon,Wed",16:00,17:15
CMOR 552,25579,"Viens, Frederi",Tue,18:30,21:00
CMOR 554,24226,"Pang, Guodong",Wed,16:00,18:15
CMOR 646,24505,"Perez Salazar, Sebastian","Mon,Wed",12:30,13:45
CMOR 677,25599,"Liang, Jiaxing",Fri,13:00,15:30
CMOR 677,25880,"de Hoop, Maarten","Mon,Wed",16:00,17:15
MACC 502,25261,"Butler, Lee Ann","Tue,Thu",09:45,11:15
MACC 502,25261,"Butler, Lee Ann","Tue,Thu",09:45,11:15
MACC 513,25262,"Zeff, Stephen","Mon,Wed",12:30,14:00
MACC 513,25262,"Zeff, Stephen","Mon,Wed",12:30,14:00
MACC 531,25263,"Wilson, David","Tue,Thu",12:30,14:00
MACC 541,25264,"Drakey, Kelly","Mon,Tue,Wed,Thu,Fri",10:00,15:00
MACC 542,25265,"Drakey, Kelly","Mon,Wed",09:45,11:15
MACC 562,25266,"Cheek, Danielle","Tue,Thu",12:30,14:00
MACC 564,25267,"Kaba, Yamil","Tue,Thu",08:00,09:30
MACC 564,25267,"Kaba, Yamil","Tue,Thu",08:00,09:30
MACC 573,25268,"Evetts, Nancy","Mon,Wed",09:45,11:15
MATH 101,21526,"Gwaltney, Ethan","Mon,Wed,Fri",11:00,11:50
MATH 101,23690,"Shupe, Chloe","Mon,Wed,Fri",10:00,10:50
MATH 102,23141,"Wu, Yandi","Mon,Wed,Fri",11:00,11:50
MATH 102,21329,"Harris, Isabel","Mon,Wed,Fri",09:00,09:50
MATH 102,21217,"Pastrana, Jose","Mon,Wed,Fri",10:00,10:50
MATH 102,20389,"Pastrana, Jose","Mon,Wed,Fri",11:00,11:50
MATH 102,21688,"Wong, Richard","Mon,Wed,Fri",13:00,13:50
MATH 102,23691,"Harris, Isabel","Mon,Wed,Fri",10:00,10:50
MATH 110,24049,"Del Guercio, Olivia",Mon,19:00,19:50
MATH 110,25808,"Del Guercio, Olivia",Mon,18:00,18:50
MATH 112,21701,"Castro, Nickolas","Tue,Thu",09:25,10:40
MATH 115,22349,"Orcan Ekmekci, Betul","Mon,Wed,Fri",10:00,10:50
MATH 211,21330,"Ortiz, Alexander","Mon,Wed,Fri",10:00,10:50
MATH 211,21099,"Orcan Ekmekci, Betul","Mon,Wed,Fri",11:00,11:50
MATH 211,21527,"Liu Lopez, Fernando","Mon,Wed,Fri",09:00,09:50
MATH 211,23692,"Gao, Zhiyong","Mon,Wed,Fri",13:00,13:50
MATH 212,21528,"Radosevich, Matthew","Mon,Wed,Fri",09:00,09:50
MATH 212,20054,"Gao, Zhiyong","Mon,Wed,Fri",11:00,11:50
MATH 212,22129,"Huxford, Peter","Mon,Wed,Fri",13:00,13:50
MATH 212,20055,"Huxford, Peter","Mon,Wed,Fri",11:00,11:50
MATH 212,23693,"Wang, Stephen","Mon,Wed,Fri",10:00,10:50
MATH 222,23694,"Mantoulidis, Christos","Mon,Wed,Fri",10:00,10:50
MATH 232,23095,"Wong, Richard","Mon,Wed,Fri",10:00,10:50
MATH 290,22744,"Gwaltney, Ethan","Mon,Wed",15:00,15:50
MATH 302,20154,"Malinovitch, Tal","Mon,Wed,Fri",10:00,10:50
MATH 322,23696,"Semmes, Stephen","Mon,Wed,Fri",11:00,11:50
MATH 354,21331,"Katz, Nets","Mon,Wed,Fri",11:00,11:50
MATH 355,20965,"Staffa, Bruno","Mon,Wed,Fri",10:00,10:50
MATH 355,22092,"Staffa, Bruno","Mon,Wed,Fri",11:00,11:50
MATH 355,23096,"Wang, Stephen","Mon,Wed,Fri",13:00,13:50
MATH 355,23698,"Wu, Yandi","Mon,Wed,Fri",14:00,14:50
MATH 357,22167,"Frei, Sarah","Tue,Thu",13:00,14:15
MATH 365,22093,"Yu, Jize","Tue,Thu",14:30,15:45
MATH 370,24696,"Nelson, Jo","Tue,Thu",09:25,10:40
MATH 371,24697,"Gao, Zhiyong","Mon,Wed,Fri",10:00,10:50
MATH 382,22451,"Jones, Frank","Mon,Wed,Fri",13:00,13:50
MATH 412,24698,"Semmes, Stephen","Mon,Wed,Fri",14:00,14:50
MATH 427,20056,"Arana-Herrera, Francisco","Mon,Wed,Fri",13:00,13:50
MATH 433,25690,"Damanik, David","Tue,Thu",10:50,12:05
MATH 443,25798,"Harvey, Shelly","Tue,Thu",10:50,12:05
MATH 451,23097,"Nelson, Jo","Tue,Thu",10:50,12:05
MATH 464,20058,"Levin, Brandon","Mon,Wed,Fri",11:00,11:50
MATH 466,24699,"Walton, Chelsea","Tue,Thu",09:25,10:40
MATH 468,25771,"McMillon, Emily","Mon,Wed,Fri",10:00,10:50
MATH 490,21131,"Damanik, David",Tue,14:30,15:45
MATH 517,20155,"Arana-Herrera, Francisco","Mon,Wed,Fri",13:00,13:50
MATH 523,25691,"Damanik, David","Tue,Thu",10:50,12:05
MATH 538,25799,"Harvey, Shelly","Tue,Thu",10:50,12:05
MATH 543,23100,"Castro, Nickolas","Tue,Thu",10:50,12:05
MATH 544,23703,"Harvey, Shelly","Tue,Thu",13:00,14:15
MATH 551,23098,"Nelson, Jo","Tue,Thu",10:50,12:05
MATH 564,20156,"Levin, Brandon","Mon,Wed,Fri",11:00,11:50
MATH 566,24700,"Walton, Chelsea","Tue,Thu",09:25,10:40
MATH 567,23101,"Varilly Alvarado, Anthony","Tue,Thu",10:50,12:05
MATH 590,20060,"Harvey, Shelly",Thu,14:30,15:45
MATH 591,20061,"Harris, Isabel Orcan Ekmekci, Betul Wang, Stephen Gwaltney, Ethan Pastrana, Jose Wong, Richard",Tue,14:30,15:45
MATH 680,20157,"Arana-Herrera, Francisco Frei, Sarah",Thu,16:00,17:29
MATH 681,20231,"Leininger, Christopher Harvey, Shelly",Mon,16:00,16:50
MATH 682,20232,"Varilly Alvarado, Anthony Levin, Brandon",Tue,16:00,17:29
MATH 683,20233,"Chambers, Gregory Nelson, Jo Mantoulidis, Christos",Wed,16:00,16:50
MATH 684,22755,"Damanik, David Lukic, Milivoje",Tue,16:00,17:29
MATH 690,21274,"Varilly Alvarado, Anthony",Fri,14:00,15:50
MATH 690,21703,"Damanik, David",Tue,14:30,15:45
MATH 699,20477,"Damanik, David",Wed,13:00,13:50
MATH 699,21120,"Harvey, Shelly",Fri,16:00,16:50
MECH 200,23225,"Schaefer, Laura","Tue,Thu",13:00,14:15
MECH 200,25504,"Trevas, David","Tue,Thu",13:00,14:15
MECH 203,22653,"Trevas, David","Mon,Wed,Fri",11:00,11:50
MECH 210,25505,"Fregly, BJ","Mon,Wed,Fri",14:00,14:50
MECH 231,21694,"Dugnani, Roberto",Tue,15:10,17:40
MECH 231,21695,"Dugnani, Roberto",Thu,15:10,17:40
MECH 231,25758,"Dugnani, Roberto",Mon,15:10,17:40
MECH 310,23226,"Dugnani, Roberto","Mon,Wed,Fri",09:00,09:50
MECH 310,24127,"Davydov, Sasha","Mon,Wed,Fri",10:00,10:50
MECH 311,20035,"Nagarajaiah, Satish","Tue,Thu",13:00,14:15
MECH 314,23937,"Brake, Matthew",Wed,09:00,09:50
MECH 314,23938,"Brake, Matthew",Wed,10:00,10:50
MECH 314,23935,"Brake, Matthew",Wed,11:00,11:50
MECH 314,23943,"Brake, Matthew",Wed,19:00,19:50
MECH 314,24231,"Brake, Matthew",Tue,16:30,17:20
MECH 315,21654,"Brake, Matthew","Tue,Thu",09:25,10:40
MECH 331,20036,"Yavas, Denizhan",Mon,15:00,17:30
MECH 331,20037,"Yavas, Denizhan",Wed,15:00,17:30
MECH 331,25759,"Yavas, Denizhan",Tue,15:00,17:30
MECH 340,20038,"Henricks, Richard",Mon,14:00,16:50
MECH 340,20160,"Henricks, Richard",Tue,14:30,17:20
MECH 340,20039,"Henricks, Richard",Wed,14:00,16:50
MECH 340,20161,"Henricks, Richard",Thu,14:30,17:20
MECH 340,23520,"Henricks, Richard",Fri,14:00,16:50
MECH 350,21655,,"Tue,Thu",10:50,12:05
MECH 408,20178,"Trevas, David","Mon,Wed,Fri",09:00,09:50
MECH 412,23104,"Spanos, Pol","Tue,Thu",10:50,12:05
MECH 417,22816,"Avila, Raudel","Tue,Thu",13:00,14:15
MECH 420,25854,"Ghorbel, Fathi","Mon,Wed,Fri",11:00,11:50
MECH 474,25741,"Tezduyar, Tayfun","Tue,Thu",09:25,10:40
MECH 481,20041,"Wehmeyer, Geoff","Tue,Thu",09:25,10:40
MECH 481,22484,"Bayazitoglu, Yildiz","Tue,Thu",13:00,14:15
MECH 487,25511,"Preston, Daniel","Tue,Thu",16:00,17:15
MECH 488,25848,"O'Malley, Marcia","Tue,Thu",16:00,17:15
MECH 489,25727,"Lillehoj, Peter","Tue,Thu",10:50,12:05
MECH 498,25508,"Farrell, Logan","Tue,Thu",08:00,09:15
MECH 502,23106,"Spanos, Pol","Tue,Thu",10:50,12:05
MECH 503,26031,"Bhuiyan, Ariful","Mon,Wed",18:00,19:15
MECH 517,23031,"Avila, Raudel","Tue,Thu",13:00,14:15
MECH 525,23994,"Kong, Yong Lin","Mon,Wed",14:00,15:15
MECH 544,23936,"Tezduyar, Tayfun","Mon,Wed,Fri",09:00,09:50
MECH 578,21464,"Davis, Diane","Tue,Thu",16:00,17:15
MECH 585,25510,"Sanchez, Vanessa","Tue,Thu",09:25,10:40
MECH 587,25723,"Preston, Daniel","Tue,Thu",16:00,17:15
MECH 588,25849,"O'Malley, Marcia","Tue,Thu",16:00,17:15
MECH 589,23525,"Lillehoj, Peter","Tue,Thu",10:50,12:05
MECH 590,24164,"Radke, Christopher",Fri,13:00,15:50
MECH 596,25586,"Dugnani, Roberto","Mon,Wed,Fri",11:00,11:50
MECH 598,25633,"Farrell, Logan","Tue,Thu",08:00,09:15
MECH 599,26039,"Srivastava, Gagan","Tue,Thu",18:00,19:15
MECH 606,20042,"O'Malley, Marcia",Wed,15:15,17:29
MECH 620,25857,"Ghorbel, Fathi","Mon,Wed,Fri",11:00,11:50
MECH 654,25735,"Tezduyar, Tayfun","Tue,Thu",09:25,10:40
MECH 665,25509,"Brake, Matthew",Tue,15:30,17:59
MSNE 203,25991,"Hautier, Geoffroy","Mon,Wed,Fri",14:00,14:50
MSNE 210,24460,"Tour, James",Fri,15:00,15:50
MSNE 211,23219,"Vajtai, Robert Tringides, Christina","Mon,Wed,Fri",10:00,10:50
MSNE 302,21078,"Keene, Scott","Mon,Wed",15:00,16:15
MSNE 311,22649,"Zednik, Ricardo J.","Tue,Thu",13:00,14:15
MSNE 406,25841,"Pirie, Harris","Mon,Wed,Fri",13:00,13:50
MSNE 408,20399,"Zednik, Ricardo J.","Tue,Thu",09:25,10:40
MSNE 411,25988,"Ma, Xuedan","Tue,Thu",10:50,12:05
MSNE 433,24648,"Yakobson, Boris","Tue,Thu",10:50,12:05
MSNE 435,20378,"Han, Yimo","Mon,Wed,Fri",11:00,11:50
MSNE 450,21092,"Vajtai, Robert",Thu,15:00,15:50
MSNE 451,21093,"Vajtai, Robert",Thu,15:00,15:50
MSNE 500,21094,"Vajtai, Robert",Thu,15:00,15:50
MSNE 501,21035,"Tang, Ming",Tue,15:00,15:50
MSNE 505,21653,"Tang, Ming","Tue,Thu",09:25,10:40
MSNE 511,25989,"Ma, Xuedan","Tue,Thu",10:50,12:05
MSNE 512,25925,"Zhu, Hanyu","Mon,Wed",16:00,17:15
MSNE 533,24649,"Yakobson, Boris","Tue,Thu",10:50,12:05
MSNE 535,20379,"Han, Yimo","Mon,Wed,Fri",11:00,11:50
MSNE 540,23188,"Lee, Hae Yeon","Mon,Wed",14:00,15:15
MSNE 569,23250,"John, Randy","Mon,Wed,Fri",13:00,13:50
MSNE 594,24044,"Verduzco, Rafael","Mon,Wed",16:00,17:15
MSNE 650,24650,"Lou, Jun","Tue,Thu",13:00,14:15
MDEM 102,20383,"Mackie, Hilary","Mon,Wed,Fri",13:00,13:50
MDEM 212,22891,"Somerville, Ted","Tue,Thu",09:25,10:40
MDEM 222,20384,"Loewen, Peter","Mon,Wed,Fri",11:00,11:50
MDEM 231,23886,"Gallant, Denva","Mon,Wed",16:00,17:15
MDEM 271,25473,"Schwarze, Zach","Mon,Wed,Fri",10:00,10:50
MDEM 350,25584,"Clements, Niki","Tue,Thu",13:00,14:15
LALX 158,24565,"Branigan, Claire","Tue,Thu",08:00,09:15
BIOS 122,21777,"Johnson, Cassidy","Tue,Thu",10:50,12:05
BIOS 128,22095,"Flynn, Jonathan Lefeldt, Nele",Fri,13:00,13:50
BIOS 201,21778,"Ross, Cana","Tue,Thu",09:25,10:40
BIOS 202,21779,"Solomon, Scott","Mon,Wed,Fri",09:00,09:50
BIOS 204,21780,"Novak, Joseph",Wed,17:00,18:00
BIOS 207,23916,"Novak, Joseph","Tue,Thu",16:00,17:59
BIOS 211,21781,"Catanese, Jamie Phillips, Dereth",Mon,13:00,16:50
BIOS 211,21782,"Catanese, Jamie Phillips, Dereth",Tue,13:00,16:50
BIOS 211,21783,"Catanese, Jamie Phillips, Dereth",Wed,13:00,16:50
BIOS 211,21784,"Catanese, Jamie Phillips, Dereth",Thu,13:00,16:50
BIOS 211,21785,"Catanese, Jamie Phillips, Dereth",Fri,13:00,16:50
BIOS 211,21786,"Catanese, Jamie Phillips, Dereth","Mon,Wed",10:00,11:50
BIOS 211,21787,"Catanese, Jamie Phillips, Dereth",Mon,13:00,16:50
BIOS 211,21788,"Catanese, Jamie Phillips, Dereth",Tue,13:00,16:50
BIOS 211,21789,"Catanese, Jamie Phillips, Dereth",Wed,13:00,16:50
BIOS 211,21790,"Catanese, Jamie Phillips, Dereth",Thu,13:00,16:50
BIOS 211,21791,"Catanese, Jamie Phillips, Dereth",Fri,13:00,16:50
BIOS 212,21792,"Lefeldt, Nele",Tue,13:00,16:50
BIOS 212,21793,"Olmos, Joey",Wed,13:00,16:50
BIOS 213,24210,"Solomon, Scott",Tue,13:00,16:50
BIOS 213,24210,"Solomon, Scott",Mon,14:00,14:50
BIOS 271,24076,"Hartley, Maria Siemann, Evan",Thu,17:30,20:15
BIOS 301,21803,"Shamoo, Yousif Glasscock, Cameron","Mon,Wed,Fri",11:00,11:50
BIOS 302,21804,"Carson, Daniel","Mon,Wed,Fri",11:00,11:50
BIOS 311,21849,"Beason-Abmayr, Beth",Mon,13:00,16:59
BIOS 311,22291,"Beason-Abmayr, Beth",Tue,13:00,16:59
BIOS 311,24437,"Beason-Abmayr, Beth",Wed,13:00,16:59
BIOS 315,22955,"Lefeldt, Nele",Wed,09:00,12:00
BIOS 315,22956,"Lefeldt, Nele",Fri,09:00,12:00
BIOS 318,21851,"Ross, Cana",Mon,13:00,16:59
BIOS 318,21852,"Ross, Cana",Tue,13:00,16:59
BIOS 318,23468,"Ross, Cana",Wed,13:00,16:59
